neg,neu,pos,compound,sentiment
0.012,0.855,0.133,0.9678,Positive
0.0,0.888,0.112,0.4404,Positive
0.021,0.899,0.08,0.5719,Positive
0.058,0.815,0.127,0.9595,Positive
0.0,0.747,0.253,0.967,Positive
0.0,0.953,0.047,0.25,Positive
0.0,0.917,0.083,0.971,Positive
0.0,0.915,0.085,0.9501,Positive
0.0,1.0,0.0,0.0,Neutral
0.062,0.749,0.189,0.8994,Positive
0.072,0.848,0.081,0.1531,Positive
0.0,0.937,0.063,0.3612,Positive
0.0,1.0,0.0,0.0,Neutral
0.079,0.876,0.045,-0.296,Negative
0.0,0.877,0.123,0.8805,Positive
0.0,0.936,0.064,0.4215,Positive
0.114,0.781,0.105,-0.204,Negative
0.028,0.779,0.193,0.999,Positive
0.038,0.837,0.125,0.9881,Positive
0.043,0.798,0.159,0.993,Positive
0.0,0.763,0.237,0.4215,Positive
0.0,0.737,0.263,0.3612,Positive
0.0,0.954,0.046,0.3612,Positive
0.0,0.672,0.328,0.5994,Positive
0.0,0.856,0.144,0.8293,Positive
0.0,0.806,0.194,0.7184,Positive
0.005,0.837,0.158,0.9894,Positive
0.0,0.943,0.057,0.3612,Positive
0.016,0.791,0.193,0.9728,Positive
0.059,0.808,0.133,0.9601,Positive
0.0,0.726,0.274,0.8519,Positive
0.154,0.752,0.093,-0.4767,Negative
0.0,1.0,0.0,0.0,Neutral
0.011,0.858,0.13,0.9678,Positive
0.017,0.729,0.254,0.9954,Positive
0.003,0.812,0.185,0.9977,Positive
0.0,0.697,0.303,0.9517,Positive
0.0,0.886,0.114,0.9217,Positive
0.0,0.946,0.054,0.4927,Positive
0.012,0.79,0.197,0.9819,Positive
0.038,0.796,0.166,0.981,Positive
0.0,1.0,0.0,0.0,Neutral
0.008,0.813,0.179,0.9924,Positive
0.0,0.836,0.164,0.8225,Positive
0.0,0.833,0.167,0.4215,Positive
0.011,0.847,0.142,0.9716,Positive
0.0,0.744,0.256,0.9714,Positive
0.047,0.755,0.198,0.9371,Positive
0.0,0.828,0.172,0.8271,Positive
0.0,0.786,0.214,0.8237,Positive
0.0,0.74,0.26,0.9821,Positive
0.161,0.839,0.0,-0.5267,Negative
0.0,0.839,0.161,0.8979,Positive
0.0,0.761,0.239,0.9732,Positive
0.0,0.873,0.127,0.875,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.895,0.105,0.9476,Positive
0.0,1.0,0.0,0.0,Neutral
0.028,0.754,0.218,0.9955,Positive
0.0,0.809,0.191,0.9136,Positive
0.068,0.823,0.109,0.5267,Positive
0.061,0.747,0.192,0.9853,Positive
0.0,0.91,0.09,0.7783,Positive
0.0,1.0,0.0,0.0,Neutral
0.064,0.788,0.148,0.8515,Positive
0.011,0.859,0.13,0.9678,Positive
0.064,0.725,0.212,0.7269,Positive
0.0,0.759,0.241,0.9231,Positive
0.018,0.801,0.18,0.995,Positive
0.016,0.724,0.26,0.9958,Positive
0.0,0.791,0.209,0.9818,Positive
0.014,0.844,0.143,0.9584,Positive
0.076,0.813,0.111,0.4201,Positive
0.047,0.818,0.134,0.8422,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,0.692,0.308,0.9881,Positive
0.0,0.845,0.155,0.9551,Positive
0.017,0.701,0.283,0.9909,Positive
0.0,0.779,0.221,0.8957,Positive
0.0,0.946,0.054,0.4927,Positive
0.0,0.7,0.3,0.9646,Positive
0.0,0.906,0.094,0.4588,Positive
0.024,0.8,0.176,0.9892,Positive
0.0,0.923,0.077,0.743,Positive
0.011,0.847,0.142,0.9719,Positive
0.013,0.783,0.204,0.9965,Positive
0.437,0.563,0.0,-0.4767,Negative
0.012,0.932,0.056,0.8176,Positive
0.062,0.66,0.278,0.9963,Positive
0.0,0.902,0.098,0.3612,Positive
0.0,0.912,0.088,0.4404,Positive
0.014,0.816,0.171,0.976,Positive
0.0,0.803,0.197,0.9915,Positive
0.0,0.857,0.143,0.6705,Positive
0.014,0.866,0.12,0.9881,Positive
0.0,0.863,0.137,0.9538,Positive
0.0,0.879,0.121,0.7331,Positive
0.007,0.82,0.172,0.9986,Positive
0.009,0.852,0.139,0.9682,Positive
0.0,0.848,0.152,0.9198,Positive
0.0,0.805,0.195,0.9022,Positive
0.0,0.965,0.035,0.2263,Positive
0.041,0.867,0.092,0.9247,Positive
